"GeoFIPS","GeoName","Region","ComponentId","ComponentName","IndustryId","IndustryClassification","Description","2001","2002","2003","2004","2005","2006","2007","2008","2009","2010","2011","2012","2013","2014","2015"
"21060","Elizabethtown-Fort Knox, KY (Metropolitan Statistical Area)"," ","200","Gross domestic product (GDP) by metropolitan area","1","...","All industry total",3338,3496,3779,4049,4206,4505,4512,4651,4708,5408,5723,5852,6132,5969,6281
"21060","Elizabethtown-Fort Knox, KY (Metropolitan Statistical Area)"," ","200","Gross domestic product (GDP) by metropolitan area","2","..."," Private industries",2145,2276,2487,2680,2783,2952,2904,2965,2878,3194,3287,3569,3876,3878,4188
"21060","Elizabethtown-Fort Knox, KY (Metropolitan Statistical Area)"," ","200","Gross domestic product (GDP) by metropolitan area","3","11","  Agriculture, forestry, fishing, and hunting","(D)","(D)","(D)","(D)","(D)","(D)","(D)","(D)","(D)","(D)","(D)","(D)","(D)","(D)","(D)"
"21060","Elizabethtown-Fort Knox, KY (Metropolitan Statistical Area)"," ","200","Gross domestic product (GDP) by metropolitan area","4","111-112","   Farms",18,"(L)",1,21,35,30,14,"(L)",8,4,29,29,81,20,"(NA)"
"21060","Elizabethtown-Fort Knox, KY (Metropolitan Statistical Area)"," ","200","Gross domestic product (GDP) by metropolitan area","5","113-115","   Forestry, fishing, and related activities","(D)","(D)","(D)","(D)","(D)","(D)","(D)","(D)","(D)","(D)","(D)","(D)","(D)","(D)","(NA)"
"21060","Elizabethtown-Fort Knox, KY (Metropolitan Statistical Area)"," ","200","Gross domestic product (GDP) by metropolitan area","6","21","  Mining",13,"(D)",12,15,17,19,22,"(D)","(D)","(D)","(D)","(D)",32,29,"(D)"
"21060","Elizabethtown-Fort Knox, KY (Metropolitan Statistical Area)"," ","200","Gross domestic product (GDP) by metropolitan area","7","211","   Oil and gas extraction","(D)","(D)","(D)","(D)","(D)","(D)","(D)","(D)","(D)","(D)","(D)","(D)","(D)","(D)","(NA)"
"21060","Elizabethtown-Fort Knox, KY (Metropolitan Statistical Area)"," ","200","Gross domestic product (GDP) by metropolitan area","8","212","   Mining, except oil and gas","(D)","(D)","(D)","(D)","(D)","(D)",22,"(D)","(D)","(D)","(D)","(D)","(D)","(D)","(NA)"
"21060","Elizabethtown-Fort Knox, KY (Metropolitan Statistical Area)"," ","200","Gross domestic product (GDP) by metropolitan area","9","213","   Support activities for mining","(L)","(L)","(L)","(L)","(L)","(L)","(D)","(D)","(D)","(D)","(D)","(L)","(L)","(L)","(NA)"
"21060","Elizabethtown-Fort Knox, KY (Metropolitan Statistical Area)"," ","200","Gross domestic product (GDP) by metropolitan area","10","22","  Utilities","(D)","(D)","(D)","(D)","(D)","(D)","(D)","(D)","(D)","(D)","(D)","(D)",118,113,"(D)"
"21060","Elizabethtown-Fort Knox, KY (Metropolitan Statistical Area)"," ","200","Gross domestic product (GDP) by metropolitan area","11","23","  Construction",120,150,174,182,215,222,209,190,177,168,171,173,170,176,189
"21060","Elizabethtown-Fort Knox, KY (Metropolitan Statistical Area)"," ","200","Gross domestic product (GDP) by metropolitan area","12","31-33","  Manufacturing",614,632,683,724,716,775,691,666,503,749,773,912,946,958,1127
"21060","Elizabethtown-Fort Knox, KY (Metropolitan Statistical Area)"," ","200","Gross domestic product (GDP) by metropolitan area","13","...","   Durable goods manufacturing","(D)","(D)","(D)","(D)","(D)","(D)","(D)","(D)","(D)","(D)","(D)","(D)","(D)","(D)",753
"21060","Elizabethtown-Fort Knox, KY (Metropolitan Statistical Area)"," ","200","Gross domestic product (GDP) by metropolitan area","14","321","    Wood products manufacturing","(D)","(D)","(D)","(D)","(D)","(D)","(D)","(D)","(D)","(D)","(D)","(D)",6,"(D)","(NA)"
"21060","Elizabethtown-Fort Knox, KY (Metropolitan Statistical Area)"," ","200","Gross domestic product (GDP) by metropolitan area","15","327","    Nonmetallic mineral products manufacturing","(D)","(D)","(D)","(D)","(D)","(D)","(D)","(D)","(D)","(D)","(D)","(D)","(D)","(D)","(NA)"
"21060","Elizabethtown-Fort Knox, KY (Metropolitan Statistical Area)"," ","200","Gross domestic product (GDP) by metropolitan area","16","331","    Primary metals manufacturing","(D)","(D)","(D)","(D)","(D)","(D)","(D)",35,"(L)",11,10,"(D)","(D)","(D)","(NA)"
"21060","Elizabethtown-Fort Knox, KY (Metropolitan Statistical Area)"," ","200","Gross domestic product (GDP) by metropolitan area","17","332","    Fabricated metal products",42,41,37,26,25,23,"(D)","(D)","(D)","(D)","(D)","(D)",21,21,"(NA)"
"21060","Elizabethtown-Fort Knox, KY (Metropolitan Statistical Area)"," ","200","Gross domestic product (GDP) by metropolitan area","18","333","    Machinery manufacturing","(D)","(D)","(D)","(D)","(D)","(D)","(D)","(D)","(D)","(D)","(D)","(D)",84,95,"(NA)"
"21060","Elizabethtown-Fort Knox, KY (Metropolitan Statistical Area)"," ","200","Gross domestic product (GDP) by metropolitan area","19","334","    Computer and electronic products manufacturing","(L)","(L)","(L)","(L)","(L)","(L)","(L)","(L)","(L)","(L)","(L)","(L)","(L)","(L)","(NA)"
"21060","Elizabethtown-Fort Knox, KY (Metropolitan Statistical Area)"," ","200","Gross domestic product (GDP) by metropolitan area","20","335","    Electrical equipment, appliance, and components manufacturing",16,14,14,11,11,15,16,13,13,16,15,17,17,18,"(NA)"
"21060","Elizabethtown-Fort Knox, KY (Metropolitan Statistical Area)"," ","200","Gross domestic product (GDP) by metropolitan area","21","3361-3363","    Motor vehicles, bodies and trailers, and parts manufacturing","(D)","(D)","(D)","(D)","(D)","(D)","(D)","(D)","(D)","(D)","(D)","(D)",275,"(D)","(NA)"
"21060","Elizabethtown-Fort Knox, KY (Metropolitan Statistical Area)"," ","200","Gross domestic product (GDP) by metropolitan area","22","3364-3366, 3369","    Other transportation equipment manufacturing","(L)","(L)","(L)","(D)","(D)","(D)","(D)","(D)","(L)","(L)",1,"(D)","(D)","(D)","(NA)"
"21060","Elizabethtown-Fort Knox, KY (Metropolitan Statistical Area)"," ","200","Gross domestic product (GDP) by metropolitan area","23","337","    Furniture and related products manufacturing","(D)","(D)","(D)","(D)","(D)","(D)","(D)","(D)","(D)","(D)","(D)","(D)",20,22,"(NA)"
"21060","Elizabethtown-Fort Knox, KY (Metropolitan Statistical Area)"," ","200","Gross domestic product (GDP) by metropolitan area","24","339","    Miscellaneous manufacturing","(D)","(D)","(D)","(D)","(D)","(D)","(D)","(D)","(D)","(D)","(D)","(D)",3,4,"(NA)"
"21060","Elizabethtown-Fort Knox, KY (Metropolitan Statistical Area)"," ","200","Gross domestic product (GDP) by metropolitan area","25","...","   Nondurable goods manufacturing","(D)","(D)","(D)","(D)","(D)","(D)","(D)","(D)","(D)","(D)","(D)","(D)","(D)","(D)",374
"21060","Elizabethtown-Fort Knox, KY (Metropolitan Statistical Area)"," ","200","Gross domestic product (GDP) by metropolitan area","26","311-312","    Food and beverage and tobacco products manufacturing","(D)","(D)","(D)","(D)","(D)","(D)",5,12,20,"(D)","(D)","(D)",16,"(D)","(NA)"
"21060","Elizabethtown-Fort Knox, KY (Metropolitan Statistical Area)"," ","200","Gross domestic product (GDP) by metropolitan area","27","313-314","    Textile mills and textile product mills","(D)","(D)","(D)","(D)","(D)","(D)","(D)","(D)","(D)","(L)","(L)","(L)","(L)","(L)","(NA)"
"21060","Elizabethtown-Fort Knox, KY (Metropolitan Statistical Area)"," ","200","Gross domestic product (GDP) by metropolitan area","28","315-316","    Apparel and leather and allied products manufacturing","(D)","(D)","(D)","(D)","(D)","(D)","(D)","(D)","(D)","(D)","(D)","(D)","(D)","(D)","(NA)"
"21060","Elizabethtown-Fort Knox, KY (Metropolitan Statistical Area)"," ","200","Gross domestic product (GDP) by metropolitan area","29","322","    Paper products manufacturing","(D)","(D)","(D)","(D)","(D)","(D)","(D)","(D)","(D)","(D)","(D)","(D)","(D)","(D)","(NA)"
"21060","Elizabethtown-Fort Knox, KY (Metropolitan Statistical Area)"," ","200","Gross domestic product (GDP) by metropolitan area","30","323","    Printing and related support activities","(D)","(D)","(D)","(D)",7,"(D)","(D)","(D)",12,15,16,13,15,15,"(NA)"
"21060","Elizabethtown-Fort Knox, KY (Metropolitan Statistical Area)"," ","200","Gross domestic product (GDP) by metropolitan area","31","324","    Petroleum and coal products manufacturing","(D)","(D)","(D)","(D)","(L)","(L)","(D)","(D)","(D)","(D)","(D)","(D)","(D)","(D)","(NA)"
"21060","Elizabethtown-Fort Knox, KY (Metropolitan Statistical Area)"," ","200","Gross domestic product (GDP) by metropolitan area","32","325","    Chemical products manufacturing","(D)","(D)","(D)","(D)","(D)","(D)","(D)","(D)","(D)","(D)","(D)","(D)","(D)","(D)","(NA)"
"21060","Elizabethtown-Fort Knox, KY (Metropolitan Statistical Area)"," ","200","Gross domestic product (GDP) by metropolitan area","33","326","    Plastics and rubber products manufacturing",54,58,"(D)","(D)","(D)","(D)",33,27,27,29,32,40,43,50,"(NA)"
"21060","Elizabethtown-Fort Knox, KY (Metropolitan Statistical Area)"," ","200","Gross domestic product (GDP) by metropolitan area","34","42","  Wholesale trade","(D)","(D)","(D)","(D)","(D)","(D)","(D)","(D)","(D)","(D)","(D)","(D)","(D)","(D)","(D)"
"21060","Elizabethtown-Fort Knox, KY (Metropolitan Statistical Area)"," ","200","Gross domestic product (GDP) by metropolitan area","35","44-45","  Retail trade",244,271,293,305,317,327,323,316,318,331,337,342,343,349,358
"21060","Elizabethtown-Fort Knox, KY (Metropolitan Statistical Area)"," ","200","Gross domestic product (GDP) by metropolitan area","36","48-49","  Transportation and warehousing","(D)","(D)",82,95,95,103,98,78,70,74,"(D)","(D)","(D)","(D)","(D)"
"21060","Elizabethtown-Fort Knox, KY (Metropolitan Statistical Area)"," ","200","Gross domestic product (GDP) by metropolitan area","37","481","   Air transportation","(L)","(L)","(L)","(L)","(L)","(L)","(L)","(L)","(L)","(D)","(D)","(D)","(L)","(L)","(NA)"
"21060","Elizabethtown-Fort Knox, KY (Metropolitan Statistical Area)"," ","200","Gross domestic product (GDP) by metropolitan area","38","482","   Rail transportation",3,"(D)",3,4,4,5,5,6,6,6,8,8,9,9,"(NA)"
"21060","Elizabethtown-Fort Knox, KY (Metropolitan Statistical Area)"," ","200","Gross domestic product (GDP) by metropolitan area","39","483","   Water transportation","(L)","(L)","(L)","(L)","(L)","(L)","(L)","(L)","(L)","(L)","(L)","(L)","(L)","(L)","(NA)"
"21060","Elizabethtown-Fort Knox, KY (Metropolitan Statistical Area)"," ","200","Gross domestic product (GDP) by metropolitan area","40","484","   Truck transportation",54,55,"(D)","(D)","(D)","(D)","(D)","(D)",45,"(D)",53,51,"(D)","(D)","(NA)"
"21060","Elizabethtown-Fort Knox, KY (Metropolitan Statistical Area)"," ","200","Gross domestic product (GDP) by metropolitan area","41","485","   Transit and ground passenger transportation","(D)",4,3,3,2,2,2,2,3,3,3,3,3,2,"(NA)"
"21060","Elizabethtown-Fort Knox, KY (Metropolitan Statistical Area)"," ","200","Gross domestic product (GDP) by metropolitan area","42","486","   Pipeline transportation","(D)","(D)","(D)","(D)","(D)","(D)","(D)","(D)","(D)","(L)","(L)","(L)","(L)","(L)","(NA)"
"21060","Elizabethtown-Fort Knox, KY (Metropolitan Statistical Area)"," ","200","Gross domestic product (GDP) by metropolitan area","43","487-488, 492","   Other transportation and support activities","(D)","(D)","(D)","(D)","(D)","(D)","(D)","(D)","(D)","(D)","(D)","(D)","(D)",7,"(NA)"
"21060","Elizabethtown-Fort Knox, KY (Metropolitan Statistical Area)"," ","200","Gross domestic product (GDP) by metropolitan area","44","493","   Warehousing and storage",2,2,2,4,"(D)","(D)",9,8,8,8,"(D)","(D)","(D)","(D)","(NA)"
"21060","Elizabethtown-Fort Knox, KY (Metropolitan Statistical Area)"," ","200","Gross domestic product (GDP) by metropolitan area","45","51","  Information","(D)","(D)","(D)",184,203,"(D)","(D)","(D)","(D)","(D)","(D)","(D)","(D)","(D)","(D)"
"21060","Elizabethtown-Fort Knox, KY (Metropolitan Statistical Area)"," ","200","Gross domestic product (GDP) by metropolitan area","46","511","   Publishing industries, except Internet (includes software)","(D)","(D)","(D)","(D)","(D)","(D)","(D)","(D)","(D)","(D)","(D)","(D)",19,18,"(NA)"
"21060","Elizabethtown-Fort Knox, KY (Metropolitan Statistical Area)"," ","200","Gross domestic product (GDP) by metropolitan area","47","512","   Motion picture and sound recording industries","(D)","(D)","(D)","(D)","(D)","(D)","(D)","(D)","(D)","(D)","(D)","(D)","(D)","(D)","(NA)"
"21060","Elizabethtown-Fort Knox, KY (Metropolitan Statistical Area)"," ","200","Gross domestic product (GDP) by metropolitan area","48","515, 517","   Broadcasting and telecommunications","(D)","(D)","(D)","(D)","(D)","(D)","(D)","(D)","(D)","(D)","(D)","(D)",555,546,"(NA)"
"21060","Elizabethtown-Fort Knox, KY (Metropolitan Statistical Area)"," ","200","Gross domestic product (GDP) by metropolitan area","49","518, 519","   Data processing, internet publishing, and other information services","(D)","(D)","(D)","(D)","(D)","(D)","(D)","(D)","(D)","(D)","(D)","(D)",21,21,"(NA)"
"21060","Elizabethtown-Fort Knox, KY (Metropolitan Statistical Area)"," ","200","Gross domestic product (GDP) by metropolitan area","50","52, 53","  Finance, insurance, real estate, rental, and leasing",406,382,388,404,413,439,441,423,440,443,470,513,571,591,602
"21060","Elizabethtown-Fort Knox, KY (Metropolitan Statistical Area)"," ","200","Gross domestic product (GDP) by metropolitan area","51","52","   Finance and insurance",108,121,129,138,159,171,164,137,126,129,146,156,153,161,"(D)"
"21060","Elizabethtown-Fort Knox, KY (Metropolitan Statistical Area)"," ","200","Gross domestic product (GDP) by metropolitan area","52","521-522","    Federal Reserve banks, credit intermediation, and related services",81,"(D)","(D)","(D)","(D)","(D)","(D)","(D)",96,100,117,124,119,122,"(NA)"
"21060","Elizabethtown-Fort Knox, KY (Metropolitan Statistical Area)"," ","200","Gross domestic product (GDP) by metropolitan area","53","523","    Securities, commodity contracts, and investments","(D)","(D)","(D)","(D)","(D)","(D)","(D)","(D)","(D)","(D)","(D)","(D)","(D)","(D)","(NA)"
"21060","Elizabethtown-Fort Knox, KY (Metropolitan Statistical Area)"," ","200","Gross domestic product (GDP) by metropolitan area","54","524","    Insurance carriers and related activities","(D)","(D)","(D)",27,31,31,31,25,"(D)","(D)","(D)","(D)","(D)","(D)","(NA)"
"21060","Elizabethtown-Fort Knox, KY (Metropolitan Statistical Area)"," ","200","Gross domestic product (GDP) by metropolitan area","55","525","    Funds, trusts, and other financial vehicles","(L)","(L)","(L)","(L)","(L)","(L)","(L)","(L)","(D)","(D)","(D)","(D)","(D)","(L)","(NA)"
"21060","Elizabethtown-Fort Knox, KY (Metropolitan Statistical Area)"," ","200","Gross domestic product (GDP) by metropolitan area","56","53","   Real estate and rental and leasing",298,261,258,265,254,267,277,286,313,314,323,358,418,430,"(D)"
"21060","Elizabethtown-Fort Knox, KY (Metropolitan Statistical Area)"," ","200","Gross domestic product (GDP) by metropolitan area","57","531","    Real estate","(D)","(D)","(D)","(D)","(D)","(D)","(D)","(D)","(D)","(D)",268,"(D)",364,375,"(NA)"
